종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"011070","LG이노텍","KOSPI","전기전자","206000","4500","2.23","4875424042000"
"066570","LG전자","KOSPI","전기전자","122000","-3500","-2.79","19965033308000"
"066575","LG전자우","KOSPI","전기전자","64200","-900","-1.38","1103340686400"
"037560","LG헬로비전","KOSPI","서비스업","7140","-140","-1.92","552970616100"
"051910","LG화학","KOSPI","화학","825000","-5000","-0.60","58238682975000"
"051915","LG화학우","KOSPI","화학","390500","-9500","-2.38","3002476400000"
"079550","LIG넥스원","KOSPI","기계","46550","250","0.54","1024100000000"
"006260","LS","KOSPI","기타금융","65500","-200","-0.30","2109100000000"
"010120","LS ELECTRIC","KOSPI","전기전자","63200","900","1.44","1896000000000"
"000680","LS네트웍스","KOSPI","유통업","3355","-25","-0.74","264384118680"
"229640","LS전선아시아","KOSPI","기타금융","8410","-160","-1.87","257555232390"
"001120","LX인터내셔널","KOSPI","유통업","28400","250","0.89","1100784000000"
"108670","LX하우시스","KOSPI","화학","72000","-1300","-1.77","645672240000"
"108675","LX하우시스우","KOSPI","화학","34400","-400","-1.15","35512152000"
"383800","LX홀딩스","KOSPI","기타금융","9090","-90","-0.98","693391472100"
"38380K","LX홀딩스1우","KOSPI","기타금융","14000","-100","-0.71","20513990000"
"023150","MH에탄올","KOSPI","음식료품","12200","-150","-1.21","90018017200"
"035420","NAVER","KOSPI","서비스업","414500","2000","0.48","68087177227500"
"181710","NHN","KOSPI","서비스업","73800","-500","-0.67","1443898845000"
"005940","NH투자증권","KOSPI","증권","13250","-200","-1.49","3935699002750"
"005945","NH투자증권우","KOSPI","증권","12700","0","0.00","239661293600"
"338100","NH프라임리츠","KOSPI","서비스업","4950","0","0.00","92367000000"
"034310","NICE","KOSPI","서비스업","17350","-300","-1.70","657257905000"
"008260","NI스틸","KOSPI","철강금속","4040","-110","-2.65","115544472680"
"004250","NPC","KOSPI","화학","6520","-140","-2.10","239414400000"
"004255","NPC우","KOSPI","화학","3195","-20","-0.62","16869600000"
"010060","OCI","KOSPI","화학","134500","-3000","-2.18","3207740399500"
"178920","PI첨단소재","KOSPI","화학","47300","-250","-0.53","1389027030600"
"005490","POSCO","KOSPI","철강금속","308000","-7000","-2.22","26853545180000"
"010950","S-Oil","KOSPI","화학","106500","1000","0.95","11990067348000"
"010955","S-Oil우","KOSPI","화학","64000","200","0.31","257403328000"
"034120","SBS","KOSPI","서비스업","55500","-1100","-1.94","1013018301000"
