,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액,EPS,PER,BPS,PBR,주당배당금,배당수익률
170,000670,영풍,KOSPI,철강금속,573000,0,0.0,1055488920000,135469.0,4.23,1767872.0,0.32,10000,1.75
171,032350,롯데관광개발,KOSPI,서비스업,15100,50,0.33,1046062496200,,,4348.0,3.47,0,0.0
172,363280,티와이홀딩스,KOSPI,기타금융,27850,650,2.39,1044400120700,,,,,0,0.0
173,023590,다우기술,KOSPI,서비스업,22950,-100,-0.43,1029688860150,4283.0,5.36,29783.0,0.77,400,1.74
174,018670,SK가스,KOSPI,유통업,111500,-2000,-1.76,1029172206000,17794.0,6.27,180030.0,0.62,3000,2.69
175,005690,파미셀,KOSPI,의약품,17000,-400,-2.3,1019302150000,73.0,232.88,859.0,19.79,0,0.0
176,114090,GKL,KOSPI,서비스업,16250,50,0.31,1005154637500,1170.0,13.89,9460.0,1.72,659,4.06
177,033270,유나이티드제약,KOSPI,의약품,61100,-6500,-9.62,992558624200,2087.0,29.28,15716.0,3.89,330,0.54
178,298020,효성티앤씨,KOSPI,화학,226500,2500,1.12,980219973000,21569.0,10.5,112984.0,2.0,2000,0.88
179,005300,롯데칠성,KOSPI,음식료품,109000,500,0.46,978288407000,,,138233.0,0.79,2700,2.48
180,192820,코스맥스,KOSPI,화학,96200,-1600,-1.64,966762765800,3168.0,30.37,34178.0,2.81,900,0.94
181,001680,대상,KOSPI,음식료품,27850,850,3.15,964947496250,2976.0,9.36,27896.0,1.0,600,2.15
182,057050,현대홈쇼핑,KOSPI,유통업,80400,1000,1.26,964800000000,7354.0,10.93,144315.0,0.56,2000,2.49
183,014820,동원시스템즈,KOSPI,화학,37650,1200,3.29,964536939150,1485.0,25.35,17529.0,2.15,500,1.33
184,011000,진원생명과학,KOSPI,의약품,21200,-450,-2.08,949145369600,,,898.0,23.61,0,0.0
185,003690,코리안리,KOSPI,보험,7860,-50,-0.63,946101251760,1550.0,5.07,20404.0,0.39,500,6.36
186,003850,보령제약,KOSPI,의약품,19850,-650,-3.17,945257000000,701.0,28.32,5858.0,3.39,100,0.5
187,003240,태광산업,KOSPI,화학,845000,37000,4.58,940823000000,161659.0,5.23,2855185.0,0.3,1550,0.18
