,종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률
764,035620,바른손이앤에이,1480,-15,-1.0,,,1079.0,1.37,0,0.0
765,064520,바른전자,1005,0,0.0,,,639.0,1.57,0,0.0
766,053030,바이넥스,29250,4050,16.07,273.0,107.14,5056.0,5.79,0,0.0
767,301300,바이브컴퍼니,35800,-650,-1.78,,,3156.0,11.34,0,0.0
768,064550,바이오니아,18600,-950,-4.86,,,1355.0,13.73,0,0.0
769,208710,바이오로그디바이스,1630,-20,-1.21,219.0,7.44,1944.0,0.84,0,0.0
770,142760,바이오리더스,6090,-250,-3.94,,,1210.0,5.03,0,0.0
771,086820,바이오솔루션,28150,-750,-2.6,,,5985.0,4.7,0,0.0
772,038460,바이오스마트,7280,-340,-4.46,1108.0,6.57,5269.0,1.38,63,0.87
773,086040,바이오톡스텍,15050,-500,-3.22,,,2070.0,7.27,0,0.0
774,032980,바이온,1410,-50,-3.42,,,630.0,2.24,0,0.0
775,043150,바텍,24800,200,0.81,2281.0,10.87,16730.0,1.48,100,0.4
776,323990,박셀바이오,229700,-39800,-14.77,,,697.0,329.56,0,0.0
777,003610,방림,1945,5,0.26,144.0,13.51,4475.0,0.43,40,2.06
778,267790,배럴,8700,-120,-1.36,883.0,9.85,5855.0,1.49,0,0.0
779,001340,백광산업,3475,35,1.02,373.0,9.32,3726.0,0.93,75,2.16
780,046310,백금T&A,3155,-25,-0.79,119.0,26.51,2650.0,1.19,50,1.58
781,035150,백산,5710,-60,-1.04,288.0,19.83,5853.0,0.98,100,1.75
782,036620,버추얼텍,714,3,0.42,,,287.0,2.49,0,0.0
783,066410,버킷스튜디오,2010,45,2.29,,,1334.0,1.51,0,0.0
784,002410,범양건영,5800,200,3.57,794.0,7.3,2819.0,2.06,0,0.0
785,206400,베노홀딩스,7830,-180,-2.25,130.0,60.23,2025.0,3.87,0,0.0
786,019010,베뉴지,1840,-10,-0.54,89.0,20.67,5349.0,0.34,30,1.63
787,177350,베셀,3650,-30,-0.82,,,1742.0,2.1,0,0.0
788,299910,베스파,15400,150,0.98,,,10465.0,1.47,0,0.0
789,007210,벽산,2505,-135,-5.11,,,3390.0,0.74,0,0.0
790,225530,보광산업,5580,-120,-2.11,175.0,31.89,1889.0,2.95,50,0.9
791,250000,보라티알,17350,-450,-2.53,503.0,34.49,8180.0,2.12,150,0.86
792,002760,보락,2470,-60,-2.37,11.0,224.55,734.0,3.37,5,0.2
793,003850,보령제약,19850,-650,-3.17,701.0,28.32,5858.0,3.39,100,0.5
794,006910,보성파워텍,2010,-5,-0.25,18.0,111.67,1743.0,1.15,0,0.0
795,000890,보해양조,952,10,1.06,,,635.0,1.5,0,0.0
796,226340,본느,2510,-90,-3.46,168.0,14.94,1106.0,2.27,0,0.0
797,003000,부광약품,27750,550,2.02,,,4489.0,6.18,200,0.72
798,001270,부국증권,21150,50,0.24,3070.0,6.89,36295.0,0.58,1200,5.67
799,001275,부국증권우,19500,-50,-0.26,,,,,1250,6.41
800,026940,부국철강,4400,-50,-1.12,92.0,47.83,5627.0,0.78,75,1.7
801,014470,부방,2710,-40,-1.45,,,3040.0,0.89,20,0.74
802,015350,부산가스,53000,1600,3.11,4892.0,10.83,60885.0,0.87,1000,1.89
803,011390,부산산업,121000,-1500,-1.22,3684.0,32.84,52812.0,2.29,250,0.21
804,005030,부산주공,732,-3,-0.41,,,709.0,1.03,0,0.0
805,008470,부스타,5550,-150,-2.63,416.0,13.34,8763.0,0.63,90,1.62
806,100120,뷰웍스,32100,-150,-0.47,2457.0,13.06,16139.0,1.99,400,1.25
807,337930,브랜드엑스코퍼레이션,10700,-200,-1.83,537.0,19.93,852.0,12.56,0,0.0
808,066980,브레인콘텐츠,1005,32,3.29,5.0,201.0,620.0,1.62,0,0.0
809,064480,브리지텍,3645,-75,-2.02,,,2755.0,1.32,100,2.74
810,288330,브릿지바이오테라퓨틱스,15100,-600,-3.82,142.0,106.34,4021.0,3.76,0,0.0
811,251630,브이원텍,10200,-250,-2.39,442.0,23.08,5428.0,1.88,100,0.98
812,018290,브이티지엠피,8660,-100,-1.14,103.0,84.08,1577.0,5.49,0,0.0
813,263920,블러썸엠앤씨,4555,0,0.0,,,6606.0,0.69,0,0.0
814,033560,블루콤,5390,-120,-2.18,101.0,53.37,9221.0,0.58,0,0.0
815,126340,비나텍,57000,-2300,-3.88,1027.0,55.5,4223.0,13.5,0,0.0
816,121800,비덴트,10250,1510,17.28,,,7328.0,1.4,0,0.0
817,148140,비디아이,10050,-850,-7.8,,,2592.0,3.88,0,0.0
818,082800,비보존 헬스케어,2045,-65,-3.08,,,905.0,2.26,0,0.0
819,318410,비비씨,19400,-250,-1.27,1957.0,9.91,6483.0,2.99,0,0.0
820,002070,비비안,4070,100,2.52,,,6310.0,0.65,0,0.0
821,100220,비상교육,6600,-50,-0.75,921.0,7.17,16496.0,0.4,250,3.79
822,200780,비씨월드제약,23500,200,0.86,722.0,32.55,11025.0,2.13,100,0.43
823,141000,비아트론,11600,650,5.94,396.0,29.29,10954.0,1.06,0,0.0
824,090460,비에이치,22350,150,0.68,1926.0,11.6,8551.0,2.61,0,0.0
825,083650,비에이치아이,2700,0,0.0,,,2685.0,1.01,0,0.0
826,086670,비엠티,11200,-400,-3.45,661.0,16.94,8633.0,1.3,150,1.34
827,335890,비올,2610,80,3.16,,,,,0,0.0
828,138580,비즈니스온,17900,-400,-2.19,462.0,38.74,3905.0,4.58,285,1.59
829,082920,비츠로셀,15550,-300,-1.89,936.0,16.61,6567.0,2.37,100,0.64
830,054220,비츠로시스,5930,0,0.0,,,,,0,0.0
831,042370,비츠로테크,9150,-250,-2.66,746.0,12.27,6932.0,1.32,50,0.55
832,030790,비케이탑스,17100,1350,8.57,,,6679.0,2.56,0,0.0
833,032850,비트컴퓨터,10350,-600,-5.48,431.0,24.01,2950.0,3.51,61,0.59
834,238200,비피도,26350,-550,-2.04,387.0,68.09,11319.0,2.33,0,0.0
835,093190,빅솔론,4520,-45,-0.99,565.0,8.0,7613.0,0.59,190,4.2
836,065450,빅텍,6880,-160,-2.27,77.0,89.35,1520.0,4.53,0,0.0
837,352820,빅히트,160500,3500,2.23,2951.0,54.39,6113.0,26.26,0,0.0
838,005180,빙그레,57600,800,1.41,4644.0,12.4,57976.0,0.99,1450,2.52
839,072950,빛샘전자,6710,-50,-0.74,333.0,20.15,9323.0,0.72,100,1.49
840,143240,사람인에이치알,26050,-150,-0.57,2314.0,11.26,9543.0,2.73,580,2.23
841,003960,사조대림,17500,0,0.0,12182.0,1.44,34643.0,0.51,150,0.86
842,008040,사조동아원,982,-16,-1.6,7.0,140.29,1394.0,0.7,0,0.0
843,007160,사조산업,33200,0,0.0,,,79920.0,0.42,150,0.45
844,014710,사조씨푸드,6230,-50,-0.8,,,11862.0,0.53,0,0.0
845,006090,사조오양,9940,-160,-1.58,1402.0,7.09,17782.0,0.56,100,1.01
846,100090,삼강엠앤티,22450,0,0.0,,,4829.0,4.65,0,0.0
847,122350,삼기,5010,-200,-3.84,53.0,94.53,3682.0,1.36,0,0.0
848,014970,삼륭물산,9500,-240,-2.46,40.0,237.5,4755.0,2.0,75,0.79
849,018310,삼목에스폼,8680,-100,-1.14,1112.0,7.81,23287.0,0.37,100,1.15
850,053700,삼보모터스,7820,470,6.39,,,12158.0,0.64,0,0.0
851,009620,삼보산업,2255,-40,-1.74,,,655.0,3.44,0,0.0
852,023600,삼보판지,11750,-400,-3.29,1784.0,6.59,21975.0,0.53,125,1.06
853,111870,삼본전자,1290,-15,-1.15,,,1856.0,0.7,0,0.0
854,001470,삼부토건,4415,-185,-4.02,61.0,72.38,1531.0,2.88,0,0.0
855,006400,삼성SDI,739000,41000,5.87,5331.0,138.62,175114.0,4.22,1000,0.14
856,006405,삼성SDI우,439500,56500,14.75,,,,,1050,0.24
857,006660,삼성공조,7870,-190,-2.36,593.0,13.27,26712.0,0.29,60,0.76
858,028260,삼성물산,151000,6000,4.14,6366.0,23.72,125948.0,1.2,2000,1.32
859,02826K,삼성물산우B,133500,7500,5.95,,,,,2050,1.54
860,207940,삼성바이오로직스,837000,18000,2.2,3067.0,272.91,65812.0,12.72,0,0.0
861,032830,삼성생명,80700,100,0.12,5443.0,14.83,178335.0,0.45,2650,3.28
862,291230,삼성스팩2호,2085,-5,-0.24,,,,,0,0.0
863,018260,삼성에스디에스,219500,14500,7.07,9521.0,23.05,84595.0,2.59,2400,1.09
864,028050,삼성엔지니어링,14100,-150,-1.05,1493.0,9.44,6749.0,2.09,0,0.0
865,009150,삼성전기,193000,11000,6.04,6806.0,28.36,68106.0,2.83,1100,0.57
866,009155,삼성전기우,101000,7700,8.25,,,,,1150,1.14
867,005930,삼성전자,88800,5900,7.12,3166.0,28.05,37528.0,2.37,1416,1.59
868,005935,삼성전자우,77800,3500,4.71,,,,,1417,1.82
869,001360,삼성제약,11650,-100,-0.85,118.0,98.73,2421.0,4.81,0,0.0
870,010140,삼성중공업,7250,-110,-1.49,,,8324.0,0.87,0,0.0
871,010145,삼성중공우,339500,-4500,-1.31,,,,,0,0.0
872,016360,삼성증권,44000,400,0.92,4388.0,10.03,55423.0,0.79,1700,3.86
873,068290,삼성출판사,23200,-600,-2.52,487.0,47.64,9069.0,2.56,100,0.43
874,029780,삼성카드,32600,300,0.93,3225.0,10.11,59525.0,0.55,1600,4.91
875,000810,삼성화재,190500,1500,0.79,15126.0,12.59,282791.0,0.67,8500,4.46
876,000815,삼성화재우,140000,-500,-0.36,,,,,8505,6.08
877,006110,삼아알미늄,12900,-100,-0.77,450.0,28.67,9893.0,1.3,110,0.85
878,009300,삼아제약,17100,-150,-0.87,1671.0,10.23,26397.0,0.65,300,1.75
879,145990,삼양사,64200,1200,1.9,3375.0,19.02,104070.0,0.62,1000,1.56
880,145995,삼양사우,44950,-50,-0.11,,,,,1050,2.34
881,003230,삼양식품,102000,0,0.0,7906.0,12.9,37661.0,2.71,800,0.78
882,225190,삼양옵틱스,9420,20,0.21,1351.0,6.97,3893.0,2.42,1000,10.62
883,002170,삼양통상,63900,1200,1.91,15112.0,4.23,109582.0,0.58,1000,1.56
884,272550,삼양패키징,21250,50,0.24,1998.0,10.64,20142.0,1.06,750,3.53
885,000070,삼양홀딩스,78300,-300,-0.38,3987.0,19.64,160079.0,0.49,2000,2.55
886,000075,삼양홀딩스우,49950,200,0.4,,,,,2050,4.1
